FIPS Code,County,State,"County, State",Percentile Sociodemographic Domain Score,Percentile Air Domain Score,Percentile Water Domain Score,Percentile Built-Environment Domain Score,Percentile Land Domain Score,Percentile Adults with less than High School Diploma,Percentile Adults with High School Diploma,Percentile Adults completing a College Degree,Percentile Total Labour Force,Percentile Employed,Percentile Unemployed,Percentile Median Monthly Rent (Studio)
12009,Brevard County,Florida,"Brevard County, FL",89.85046134,65.79700923,98.50461343,65.47884187,66.17881005,24.06936048,15.59020045,75.1988546,96.18199173,96.27744193,95.03658925,14.63569838
12011,Broward County,Florida,"Broward County, FL",94.27298759,57.65192491,99.93636653,71.87400573,86.57333758,46.05472479,16.51288578,36.43016227,99.5545657,99.5545657,99.36366529,3.627107859
12013,Calhoun County,Florida,"Calhoun County, FL",15.39930003,10.88132358,95.8001909,44.38434617,61.11994909,93.76391982,87.14603882,19.07413299,25.32612154,25.48520522,25.54883869,42.06172447
12015,Charlotte County,Florida,"Charlotte County, FL",76.90104995,80.84632517,97.74101177,58.98822781,51.73401209,34.72796691,46.00699968,68.70824053,86.03245307,86.09608654,85.65065224,13.50620426
12017,Citrus County,Florida,"Citrus County, FL",59.94272988,75.43748011,97.10467706,38.65733376,78.84187082,45.51384028,69.86955138,61.54947502,80.71905822,80.59179128,83.96436526,24.32389437
12019,Clay County,Florida,"Clay County, FL",85.14158447,63.69710468,94.01845371,16.99013681,93.38211899,25.11931276,26.59879096,83.94845689,90.26407891,90.35952911,87.46420617,13.1403118
12021,Collier County,Florida,"Collier County, FL",88.54597518,47.85237035,99.87273306,69.96500159,61.31084951,54.40661788,14.39707286,16.8469615,93.66846962,93.73210309,92.14126631,4.549793191
12023,Columbia County,Florida,"Columbia County, FL",51.57492841,62.99713649,91.56856507,34.20299077,63.91982183,71.61947184,62.21762647,69.6150175,73.52847598,73.59210945,73.25803373,42.06172447
12027,DeSoto County,Florida,"DeSoto County, FL",6.967865097,63.37893732,95.86382437,26.21699014,14.06299714,97.1364938,91.36175628,0.890868597,56.18835507,56.50652243,52.30671333,34.66433344
12029,Dixie County,Florida,"Dixie County, FL",3.245307031,83.96436526,93.0321349,34.0439071,83.2007636,89.97772829,98.32962138,4.311167674,30.75087496,30.73496659,29.58956411,42.06172447
12031,Duval County,Florida,"Duval County, FL",88.8323258,87.11422208,93.9230035,65.73337576,84.79160038,40.43907095,20.42634426,51.79764556,98.37734648,98.40916322,97.51829462,13.1403118
12033,Escambia County,Florida,"Escambia County, FL",77.91918549,22.62169901,98.88641425,65.19249125,35.09385937,38.2914413,16.11517658,84.40979955,92.4912504,92.45943366,92.10944957,12.45625199
12035,Flagler County,Florida,"Flagler County, FL",82.05536112,26.85332485,96.27744193,33.18485523,72.79669106,29.65319758,41.88673242,67.46738785,81.19630926,81.22812599,81.41902641,14.15844734
12037,Franklin County,Florida,"Franklin County, FL",33.85300668,71.26948775,98.05917913,98.05917913,96.2456252,86.00063633,60.48361438,10.46770601,24.59433662,24.76932867,21.30130449,29.0009545
12039,Gadsden County,Florida,"Gadsden County, FL",43.14349348,86.38243716,91.95036589,47.08876869,71.33312122,84.77569201,62.37671015,20.37861915,63.64937957,63.41075406,67.84918867,13.39484569
12041,Gilchrist County,Florida,"Gilchrist County, FL",12.50397709,74.76932867,92.30034998,7.286032453,49.5068406,63.5857461,92.23671651,44.05027044,35.85746102,36.30289532,31.14858416,15.74928412
12043,Glades County,Florida,"Glades County, FL",5.440661788,77.72828508,99.49093223,12.24944321,34.36207445,98.31371301,58.38370983,11.2153993,26.31244034,26.50334076,24.8011454,22.89214127
12045,Gulf County,Florida,"Gulf County, FL",24.33980274,84.34616608,95.83200764,77.50556793,90.74132994,69.69455934,42.42761693,38.89595927,27.48965956,27.87146039,22.31944003,14.31753102
12047,Hamilton County,Florida,"Hamilton County, FL",9.004136176,80.08272351,92.74578428,47.15240216,57.42920776,96.40470888,96.30925867,2.449888641,21.28539612,20.95132039,28.85777919,65.89245943
12049,Hardee County,Florida,"Hardee County, FL",3.754374801,82.46897868,98.44097996,38.56188355,6.967865097,95.59338212,98.63188037,0.954502068,42.57079224,42.4912504,44.46388801,48.31371301
12051,Hendry County,Florida,"Hendry County, FL",8.208717786,75.97836462,99.77728285,41.61629017,4.358892778,99.1091314,46.56379255,23.54438435,58.16099268,57.58829144,66.16290169,28.79414572
